"Reloadable Information","Reloadable Information"
"Reload Product Information","Reload Product Information"
"Note. Please enable ""Used in Product Listing"" setting for reloadable attribute.","Note. Please enable ""Used in Product Listing"" setting for reloadable attribute."
"Name Dom-Selector","Name Dom-Selector"
"Description Dom-Selector","Description Dom-Selector"
"Short Description Dom-Selector","Short Description Dom-Selector"
"Attributes Block Dom-Selector","Attributes Block Dom-Selector"
"SKU Dom-Selector","SKU Dom-Selector"
"Product Matrix","Product Matrix"
"Display Last Attribute in Rows","Display Last Attribute in Rows"
"Display SKU Column","Display SKU Column"
"Display Available Qty Column","Display Available Qty Column"
"Display Subtotal Column","Display Subtotal Column"
Preselect,Preselect
"Preselect for All Configurable Products","Preselect for All Configurable Products"
"Preselect on Category Page","Preselect on Category Page"
"Zoom Type","Zoom Type"
"Choose 'Outside' to show the zoomed product image in a separate window. Choose 'Inside' to display the zoomed elements of product right in the main product image window. On Mobile 'Zoom Type' = 'Lens' is used only.","Choose 'Outside' to show the zoomed product image in a separate window. Choose 'Inside' to display the zoomed elements of product right in the main product image window. On Mobile 'Zoom Type' = 'Lens' is used only."
"Zoom Window Position","Zoom Window Position"
"Horizontal Offset, px","Horizontal Offset, px"
"Vertical Offset, px","Vertical Offset, px"
"Zoom Window Width, px","Zoom Window Width, px"
"Zoom Window Height, px","Zoom Window Height, px"
"Tint Color","Tint Color"
"Lens Size","Lens Size"
Lightbox,Lightbox
"Enable Lightbox","Enable Lightbox"
"Set ‘Yes’ to enable the Lightbox effect when opening full-size images. On Mobile 'Zoom' feature is inactive if 'Lightbox' effect is enabled.","Set ‘Yes’ to enable the Lightbox effect when opening full-size images. On Mobile 'Zoom' feature is inactive if 'Lightbox' effect is enabled."
"Enable Thumbnail Lightbox","Enable Thumbnail Lightbox"
"Endless Lightbox","Endless Lightbox"
"Choose 'Yes' to show the non-stop circle of images","Choose 'Yes' to show the non-stop circle of images"
"Transition Effect between Slides","Transition Effect between Slides"
"Open/close Animation Effect","Open/close Animation Effect"
"Display Thumbnail Helper","Display Thumbnail Helper"
"Set to 'Yes' to show the thumbnail helper in the lightbox.","Set to 'Yes' to show the thumbnail helper in the lightbox."
Carousel,Carousel
"Enable Carousel","Enable Carousel"
"Set ‘Yes’ to show product thumbnails in the carousel","Set ‘Yes’ to show product thumbnails in the carousel"
"Main Image Change","Main Image Change"
"Enable Swipe Effect for Main Image in Mobile","Enable Swipe Effect for Main Image in Mobile"
"Zoom effect will be disabled on mobile view","Zoom effect will be disabled on mobile view"
"Carousel position","Carousel position"
"Qty of Visible Items","Qty of Visible Items"
"Set how many items should be visible in the carousel at the same time. On mobile this setting is ignored and 3 items are visible.","Set how many items should be visible in the carousel at the same time. On mobile this setting is ignored and 3 items are visible."
"Items Qty to Scroll","Items Qty to Scroll"
"Endless Carousel","Endless Carousel"
"Set ‘Yes’ to endlessly list the product thumbnails in the carousel","Set ‘Yes’ to endlessly list the product thumbnails in the carousel"
"Enable Pagination","Enable Pagination"
"Set ‘Yes’ to display the pagination and arrows for the thumbnail carousel","Set ‘Yes’ to display the pagination and arrows for the thumbnail carousel"
"Automatic Scrolling","Automatic Scrolling"
"Add New Group","Add New Group"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
Title,Title
Options,Options
